               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.060852,            0.050176,            0.010438,             0.74667,             0.62193,             0.67939,             0.28764,            0.056497,             0.04283,           0.0060511,             0.00769,             0.00769,             0.00769
                  37,            0.061444,            0.047891,             0.01013,             0.75715,             0.62729,             0.65417,             0.29209,            0.052684,            0.041188,           0.0069729,            0.007624,            0.007624,            0.007624
                  38,            0.059163,            0.048825,           0.0098196,             0.74479,             0.61862,             0.67047,             0.28313,            0.056541,            0.046297,           0.0082197,            0.007558,            0.007558,            0.007558
                  39,            0.059507,            0.046709,           0.0091659,             0.72163,             0.60059,              0.6523,             0.27297,             0.05438,            0.041678,           0.0068423,            0.007492,            0.007492,            0.007492
                  40,            0.058556,            0.048981,           0.0085716,              0.7198,             0.65669,             0.69103,             0.31389,            0.051838,            0.040262,           0.0063704,            0.007426,            0.007426,            0.007426
                  41,            0.058908,            0.047122,           0.0095707,             0.63636,              0.6353,             0.65553,             0.27688,            0.052484,            0.039794,           0.0052347,             0.00736,             0.00736,             0.00736
                  42,            0.058207,            0.046847,             0.00884,             0.71486,             0.71039,             0.73824,             0.32871,            0.050068,            0.040606,           0.0060085,            0.007294,            0.007294,            0.007294
                  43,            0.057151,            0.045468,           0.0089047,             0.75211,             0.71183,             0.74063,             0.34459,            0.049858,            0.039578,           0.0062054,            0.007228,            0.007228,            0.007228
                  44,            0.056744,            0.048404,           0.0081347,             0.70153,             0.67936,              0.7102,             0.30573,            0.051762,             0.03912,           0.0062208,            0.007162,            0.007162,            0.007162
                  45,            0.055086,            0.046115,           0.0081024,             0.72034,             0.68758,             0.72684,             0.32933,            0.051128,            0.040544,            0.006059,            0.007096,            0.007096,            0.007096
                  46,            0.054614,            0.045145,           0.0080938,             0.69521,             0.66728,             0.70322,             0.30738,              0.0527,            0.039119,           0.0050613,             0.00703,             0.00703,             0.00703
