               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.064256,            0.054745,            0.016256,             0.69276,             0.57707,              0.6414,             0.27182,            0.055792,            0.042979,             0.01174,             0.00769,             0.00769,             0.00769
                  37,            0.064387,            0.051482,            0.016078,             0.60595,             0.62207,             0.63335,             0.27228,            0.059244,            0.044167,             0.01487,            0.007624,            0.007624,            0.007624
                  38,             0.06198,            0.053459,            0.015578,             0.65519,             0.58399,             0.61298,             0.24183,            0.057786,            0.044017,            0.012753,            0.007558,            0.007558,            0.007558
                  39,            0.063294,            0.050541,            0.014401,               0.708,             0.58646,             0.62499,             0.25742,            0.059299,            0.041932,           0.0098656,            0.007492,            0.007492,            0.007492
                  40,            0.062007,            0.053131,            0.013032,             0.76379,              0.5988,             0.66801,             0.28238,             0.05676,            0.041859,            0.010341,            0.007426,            0.007426,            0.007426
                  41,            0.062502,            0.050391,            0.013739,             0.63505,             0.57621,             0.55597,             0.21371,            0.058387,            0.040859,            0.009388,             0.00736,             0.00736,             0.00736
                  42,            0.061733,            0.050756,             0.01304,             0.73234,             0.62141,             0.67288,             0.29259,            0.054716,            0.041449,           0.0088946,            0.007294,            0.007294,            0.007294
                  43,            0.060749,            0.049319,            0.012929,             0.60298,             0.60359,             0.65911,             0.29953,            0.052653,             0.04041,           0.0082116,            0.007228,            0.007228,            0.007228
                  44,            0.059192,            0.052667,            0.012482,             0.71605,             0.59841,             0.65115,              0.2729,            0.055749,            0.044963,            0.011665,            0.007162,            0.007162,            0.007162
                  45,              0.0595,            0.050164,            0.012518,             0.74945,             0.59901,             0.67737,             0.29762,            0.053737,            0.040617,           0.0076043,            0.007096,            0.007096,            0.007096
                  46,            0.058536,            0.048963,            0.012343,             0.69499,             0.59422,             0.63621,             0.28288,            0.057922,            0.043875,           0.0073185,             0.00703,             0.00703,             0.00703
                  47,            0.058815,            0.047808,            0.011917,             0.68611,             0.62116,             0.67422,             0.29301,            0.053842,            0.043522,           0.0082699,            0.006964,            0.006964,            0.006964
                  48,            0.058738,            0.047891,            0.010747,             0.74674,             0.61156,             0.67423,             0.29576,            0.056333,            0.047996,           0.0090151,            0.006898,            0.006898,            0.006898
                  49,            0.057086,            0.047874,            0.010695,             0.67896,             0.67419,             0.68617,             0.28383,            0.059789,            0.044051,           0.0085847,            0.006832,            0.006832,            0.006832
                  50,            0.057659,            0.050132,            0.010456,              0.7325,             0.68787,             0.71058,             0.31407,            0.056779,            0.041786,           0.0079155,            0.006766,            0.006766,            0.006766
                  51,            0.056483,            0.048613,             0.01004,             0.74071,             0.69044,             0.72584,             0.33614,            0.054459,            0.040067,           0.0060616,              0.0067,              0.0067,              0.0067
                  52,            0.056049,            0.047026,            0.010225,             0.74525,             0.70232,             0.71654,             0.31021,            0.052684,            0.039447,             0.00631,            0.006634,            0.006634,            0.006634
                  53,             0.05778,            0.049216,            0.010358,              0.7612,             0.70716,             0.75035,              0.3459,            0.054166,            0.040612,           0.0056634,            0.006568,            0.006568,            0.006568
                  54,            0.057158,            0.049875,           0.0089351,             0.81386,             0.68453,             0.74166,             0.34497,            0.051804,            0.039676,           0.0063189,            0.006502,            0.006502,            0.006502
                  55,            0.054897,            0.045253,           0.0097315,              0.7863,             0.69011,              0.7353,             0.34543,            0.051379,            0.039056,           0.0065187,            0.006436,            0.006436,            0.006436
                  56,            0.054927,            0.047995,           0.0090809,             0.77462,             0.70285,             0.74774,             0.35211,             0.05052,            0.038971,           0.0056686,             0.00637,             0.00637,             0.00637
                  57,            0.056224,            0.047527,           0.0086249,             0.76645,              0.7092,             0.75429,             0.33721,            0.050438,            0.040181,           0.0052161,            0.006304,            0.006304,            0.006304
                  58,            0.055298,            0.046971,           0.0085792,             0.79442,             0.65642,             0.74499,             0.31859,            0.052503,            0.040504,           0.0059929,            0.006238,            0.006238,            0.006238
                  59,            0.055454,            0.045875,           0.0083227,             0.79702,             0.68652,             0.75201,             0.32906,            0.052869,            0.039272,           0.0048024,            0.006172,            0.006172,            0.006172
                  60,            0.054236,            0.047283,           0.0090005,             0.72936,              0.7161,             0.74959,             0.33659,            0.050243,            0.038481,            0.005125,            0.006106,            0.006106,            0.006106
                  61,            0.054432,            0.045607,           0.0081452,              0.6575,              0.6862,             0.71337,             0.33005,            0.054317,            0.039791,           0.0058947,             0.00604,             0.00604,             0.00604
                  62,            0.053772,             0.04824,            0.007936,             0.82591,             0.72466,             0.78097,             0.35049,            0.049898,             0.03948,            0.006149,            0.005974,            0.005974,            0.005974
                  63,            0.054039,            0.045728,           0.0086989,             0.82662,             0.68461,             0.76515,             0.34832,            0.051567,            0.039093,           0.0054537,            0.005908,            0.005908,            0.005908
                  64,            0.054196,            0.046418,           0.0075712,             0.82511,             0.71514,             0.77502,             0.35427,            0.049714,            0.039064,           0.0047747,            0.005842,            0.005842,            0.005842
                  65,            0.052027,            0.043784,           0.0078493,             0.79216,             0.70053,              0.7651,             0.35813,            0.051528,            0.038459,           0.0046996,            0.005776,            0.005776,            0.005776
                  66,            0.053622,             0.04476,           0.0075907,             0.73345,             0.71228,             0.76021,             0.34944,            0.049804,            0.038304,            0.004348,             0.00571,             0.00571,             0.00571
                  67,            0.053559,            0.045054,           0.0077825,             0.75584,             0.71091,             0.77129,              0.3721,            0.049296,            0.038979,           0.0048804,            0.005644,            0.005644,            0.005644
                  68,            0.051807,            0.046343,           0.0069445,              0.7428,             0.72074,             0.76309,             0.35161,            0.051192,            0.040431,           0.0056992,            0.005578,            0.005578,            0.005578
                  69,            0.052961,            0.045232,           0.0074924,             0.76003,              0.7535,             0.79092,             0.37839,            0.048982,            0.038996,           0.0049804,            0.005512,            0.005512,            0.005512
                  70,            0.052524,            0.045755,           0.0075059,             0.78542,             0.71952,             0.77501,             0.37499,            0.047986,            0.036982,           0.0039803,            0.005446,            0.005446,            0.005446
                  71,             0.05161,             0.04528,           0.0072181,             0.73271,             0.70563,             0.74624,             0.36254,            0.050639,            0.040065,           0.0044276,             0.00538,             0.00538,             0.00538
                  72,            0.052228,            0.043246,           0.0071989,             0.76828,             0.70968,             0.76355,             0.32949,             0.05271,            0.040163,           0.0037231,            0.005314,            0.005314,            0.005314
                  73,            0.051643,            0.047257,           0.0068635,             0.84758,             0.72559,              0.7991,              0.3814,             0.04766,             0.03863,           0.0038366,            0.005248,            0.005248,            0.005248
                  74,            0.052693,             0.04339,            0.006894,             0.79343,             0.72349,             0.78962,             0.36916,            0.048573,            0.038104,           0.0039695,            0.005182,            0.005182,            0.005182
                  75,            0.050899,            0.043748,           0.0062376,             0.79146,             0.75891,             0.79861,             0.37671,            0.048782,             0.03757,           0.0038295,            0.005116,            0.005116,            0.005116
                  76,            0.050419,            0.043018,           0.0065685,             0.77669,             0.76621,             0.78663,             0.36678,            0.048508,            0.037768,           0.0035165,             0.00505,             0.00505,             0.00505
                  77,            0.051262,            0.041244,           0.0064575,             0.83264,              0.7222,             0.79165,             0.36724,            0.047885,            0.036737,           0.0039191,            0.004984,            0.004984,            0.004984
                  78,            0.050645,            0.042842,           0.0066908,             0.80576,             0.74048,             0.79826,             0.38247,            0.047495,             0.03708,           0.0038028,            0.004918,            0.004918,            0.004918
                  79,            0.049842,              0.0451,           0.0060537,             0.83081,             0.72221,             0.79694,             0.39064,            0.047156,            0.037171,           0.0035608,            0.004852,            0.004852,            0.004852
                  80,            0.050252,            0.044629,           0.0054679,             0.82655,             0.76963,             0.83188,             0.39017,            0.048389,            0.035879,           0.0032777,            0.004786,            0.004786,            0.004786
                  81,            0.049762,            0.044528,           0.0055996,             0.80429,             0.75406,             0.80072,             0.39732,            0.047156,            0.037063,           0.0036687,             0.00472,             0.00472,             0.00472
                  82,            0.050085,            0.045245,           0.0055164,             0.81673,             0.78215,             0.82311,             0.39916,            0.047251,            0.036877,            0.003943,            0.004654,            0.004654,            0.004654
                  83,            0.049976,            0.043606,            0.005883,             0.83152,             0.75085,              0.8091,             0.38788,            0.048207,            0.036908,            0.003778,            0.004588,            0.004588,            0.004588
                  84,            0.049735,            0.044982,           0.0054713,             0.85332,             0.76271,             0.83399,              0.4195,             0.04639,             0.03644,           0.0034978,            0.004522,            0.004522,            0.004522
                  85,            0.047842,            0.042229,           0.0053747,             0.84033,             0.76144,             0.82713,             0.40058,            0.047004,             0.03661,            0.003123,            0.004456,            0.004456,            0.004456
                  86,            0.049886,            0.043369,           0.0054009,             0.85523,             0.76336,             0.82896,             0.41378,            0.046324,            0.037972,           0.0037948,             0.00439,             0.00439,             0.00439
                  87,            0.049603,            0.043782,           0.0047177,             0.83277,             0.77811,             0.83261,             0.39278,            0.047873,            0.036915,           0.0033782,            0.004324,            0.004324,            0.004324
