               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.068944,            0.057226,            0.019562,             0.63935,              0.4137,             0.41276,             0.15394,            0.062608,            0.046507,            0.011982,             0.00769,             0.00769,             0.00769
                  37,            0.068383,            0.053967,             0.01894,             0.69167,             0.44825,             0.48123,             0.20445,            0.059853,            0.048075,            0.010948,            0.007624,            0.007624,            0.007624
                  38,            0.067087,            0.055983,            0.018172,             0.52989,             0.31503,             0.31611,             0.11812,            0.068617,            0.058291,            0.023521,            0.007558,            0.007558,            0.007558
                  39,            0.067102,            0.053353,            0.017204,             0.65324,             0.48474,             0.50715,             0.19719,            0.058353,            0.047435,            0.017881,            0.007492,            0.007492,            0.007492
                  40,            0.065292,            0.055854,            0.015788,             0.60745,             0.43812,             0.49069,             0.20109,            0.062605,            0.056737,            0.023355,            0.007426,            0.007426,            0.007426
                  41,            0.066187,            0.053279,            0.015888,             0.40967,             0.46818,             0.42286,             0.16653,            0.070761,            0.048275,            0.026812,             0.00736,             0.00736,             0.00736
                  42,             0.06596,            0.053622,            0.015436,              0.5333,             0.45778,             0.39391,             0.15115,            0.065671,            0.045664,             0.01667,            0.007294,            0.007294,            0.007294
                  43,            0.064195,            0.052262,            0.014606,             0.55695,             0.57933,             0.56506,             0.23436,            0.055265,            0.045998,           0.0097411,            0.007228,            0.007228,            0.007228
                  44,            0.063217,            0.054981,            0.013869,             0.48973,             0.62167,              0.5751,              0.2253,            0.056796,            0.045508,           0.0095873,            0.007162,            0.007162,            0.007162
                  45,            0.062878,            0.052274,            0.013753,             0.69929,             0.61425,             0.62041,             0.26148,            0.055173,            0.043631,           0.0095482,            0.007096,            0.007096,            0.007096
                  46,            0.061511,            0.050849,            0.013785,             0.66131,             0.51665,             0.53784,             0.21339,            0.062176,            0.044751,            0.010846,             0.00703,             0.00703,             0.00703
                  47,            0.062773,            0.049455,            0.013235,             0.66663,             0.61514,             0.62544,             0.27548,            0.054945,            0.041494,           0.0081809,            0.006964,            0.006964,            0.006964
                  48,            0.062061,            0.050021,            0.012065,             0.66033,             0.57262,             0.61552,             0.27073,            0.056521,            0.042368,           0.0085052,            0.006898,            0.006898,            0.006898
                  49,             0.06014,            0.049931,            0.011831,             0.67406,             0.58258,              0.6187,             0.26859,            0.055851,             0.04366,           0.0089769,            0.006832,            0.006832,            0.006832
                  50,            0.061244,            0.052001,            0.011469,             0.57132,             0.65545,             0.59677,             0.26442,            0.059355,            0.046589,           0.0082083,            0.006766,            0.006766,            0.006766
                  51,            0.059886,            0.049855,            0.011319,             0.71612,             0.55421,             0.62038,             0.27472,            0.059461,            0.042733,           0.0091689,              0.0067,              0.0067,              0.0067
                  52,             0.05932,            0.048833,            0.010975,             0.66857,             0.59794,             0.60314,             0.26361,            0.056958,            0.042121,           0.0077159,            0.006634,            0.006634,            0.006634
                  53,            0.060968,            0.051296,              0.0116,             0.66063,             0.58707,             0.64362,              0.2851,             0.05769,            0.046178,            0.011851,            0.006568,            0.006568,            0.006568
                  54,            0.060183,            0.051652,            0.010338,             0.78226,             0.63004,             0.67523,             0.31726,            0.052464,            0.041838,           0.0078761,            0.006502,            0.006502,            0.006502
                  55,            0.058022,            0.047195,            0.010747,             0.75297,             0.63833,             0.71955,             0.32274,            0.052691,            0.040752,           0.0057758,            0.006436,            0.006436,            0.006436
                  56,            0.058426,            0.049401,            0.010053,             0.68085,             0.64052,             0.65807,             0.27937,            0.053734,            0.040199,           0.0070453,             0.00637,             0.00637,             0.00637
                  57,            0.058835,            0.048982,           0.0094633,              0.6196,             0.55603,             0.54756,             0.21369,             0.07072,             0.05214,           0.0083389,            0.006304,            0.006304,            0.006304
                  58,            0.058895,             0.04823,           0.0094163,             0.68772,             0.62193,             0.66459,              0.2779,            0.051582,            0.039977,           0.0057901,            0.006238,            0.006238,            0.006238
                  59,            0.058435,            0.047416,            0.009256,             0.73825,             0.65339,             0.69642,             0.31087,            0.053519,            0.041549,           0.0070025,            0.006172,            0.006172,            0.006172
                  60,            0.056282,            0.049188,            0.010008,             0.66032,             0.64938,             0.65868,             0.27597,            0.054131,            0.041795,           0.0068507,            0.006106,            0.006106,            0.006106
                  61,            0.057649,            0.047486,           0.0087066,              0.6901,             0.61329,             0.66045,             0.29917,            0.052929,            0.040794,           0.0060892,             0.00604,             0.00604,             0.00604
                  62,            0.056586,            0.049462,           0.0085747,             0.70265,             0.67702,             0.70613,             0.32036,            0.054727,            0.039284,           0.0047355,            0.005974,            0.005974,            0.005974
                  63,             0.05716,            0.046546,           0.0089834,             0.65754,              0.7124,             0.70396,             0.33173,            0.052509,            0.040203,            0.006587,            0.005908,            0.005908,            0.005908
                  64,            0.056832,            0.047796,           0.0082507,             0.68591,             0.72803,             0.73532,             0.33514,            0.051304,            0.040087,            0.006554,            0.005842,            0.005842,            0.005842
                  65,            0.055256,            0.045064,           0.0083911,              0.7473,             0.68483,             0.72337,             0.31893,            0.057727,            0.042548,           0.0058778,            0.005776,            0.005776,            0.005776
                  66,             0.05587,            0.046054,           0.0080667,             0.69397,             0.68948,             0.72477,             0.33767,            0.051752,            0.038417,           0.0043845,             0.00571,             0.00571,             0.00571
                  67,            0.055531,            0.046146,           0.0081876,             0.70805,             0.72605,             0.74732,             0.34783,            0.055583,            0.040111,           0.0052924,            0.005644,            0.005644,            0.005644
                  68,            0.054096,            0.047513,           0.0073658,             0.75207,             0.68039,             0.71495,             0.31654,            0.053534,            0.045334,           0.0072142,            0.005578,            0.005578,            0.005578
                  69,            0.055377,            0.046311,           0.0081966,             0.82507,             0.63914,              0.7116,             0.34074,            0.051371,            0.040538,           0.0051611,            0.005512,            0.005512,            0.005512
                  70,            0.055265,            0.047056,           0.0077615,             0.72443,             0.70431,             0.73265,             0.33531,            0.049227,            0.039534,           0.0049483,            0.005446,            0.005446,            0.005446
                  71,            0.054422,            0.046589,           0.0077085,             0.67199,             0.64587,             0.68559,             0.32016,            0.053015,             0.04462,           0.0078376,             0.00538,             0.00538,             0.00538
                  72,            0.055236,            0.044298,           0.0070221,             0.71532,             0.71055,             0.71904,              0.3365,            0.051947,            0.042314,           0.0051924,            0.005314,            0.005314,            0.005314
                  73,            0.053942,            0.048424,           0.0073181,             0.75952,             0.73289,             0.77227,             0.36926,            0.049465,            0.038324,           0.0043462,            0.005248,            0.005248,            0.005248
                  74,            0.054711,            0.044207,           0.0074547,             0.78661,             0.66297,             0.73933,             0.34237,            0.049921,            0.039421,           0.0046933,            0.005182,            0.005182,            0.005182
                  75,            0.053311,            0.044558,            0.006617,             0.72942,             0.72709,             0.76662,             0.36884,            0.049021,            0.038162,           0.0046492,            0.005116,            0.005116,            0.005116
                  76,            0.052819,            0.043961,           0.0073013,             0.75518,             0.69724,              0.7419,             0.33406,            0.050952,             0.03924,           0.0047491,             0.00505,             0.00505,             0.00505
                  77,            0.053623,            0.042133,           0.0068328,             0.74816,             0.72515,             0.77056,              0.3686,            0.049325,            0.039314,           0.0047301,            0.004984,            0.004984,            0.004984
                  78,            0.053065,            0.044035,           0.0070786,             0.73765,             0.73365,             0.76274,              0.3656,            0.050133,            0.039679,           0.0051517,            0.004918,            0.004918,            0.004918
                  79,            0.051855,            0.046378,           0.0065271,              0.7474,             0.70613,             0.75601,             0.37113,            0.048096,            0.038263,           0.0043901,            0.004852,            0.004852,            0.004852
                  80,            0.052714,            0.045976,           0.0058746,             0.77338,              0.7309,              0.7694,             0.34838,             0.05339,            0.039624,           0.0044818,            0.004786,            0.004786,            0.004786
                  81,            0.051917,            0.045744,           0.0058275,             0.79378,             0.68418,               0.763,             0.35997,            0.049344,            0.039049,           0.0040218,             0.00472,             0.00472,             0.00472
                  82,            0.052068,            0.045905,           0.0056632,             0.74774,             0.72517,             0.75445,             0.34324,            0.051121,            0.037974,           0.0045009,            0.004654,            0.004654,            0.004654
                  83,            0.052271,            0.044898,           0.0061785,             0.82891,             0.68856,             0.77807,              0.3735,            0.048272,            0.037946,           0.0035758,            0.004588,            0.004588,            0.004588
                  84,            0.052314,            0.046363,           0.0058688,             0.73254,             0.71737,             0.74246,             0.38105,            0.047892,            0.038284,           0.0046024,            0.004522,            0.004522,            0.004522
                  85,            0.049152,            0.043227,           0.0054124,             0.76382,             0.70653,              0.7647,             0.37483,            0.048688,            0.037861,           0.0038908,            0.004456,            0.004456,            0.004456
                  86,            0.051529,            0.044387,           0.0060067,             0.81249,              0.7106,             0.77489,             0.38023,            0.048414,            0.037487,           0.0033781,             0.00439,             0.00439,             0.00439
                  87,            0.051864,            0.044555,           0.0051597,             0.81817,             0.68937,             0.76856,             0.36511,            0.049534,            0.039456,            0.004403,            0.004324,            0.004324,            0.004324
                  88,            0.051443,             0.04343,           0.0056254,             0.79912,             0.73262,             0.77991,             0.35993,            0.049682,            0.038889,           0.0030462,            0.004258,            0.004258,            0.004258
                  89,            0.049666,            0.042017,           0.0053157,             0.81816,             0.71471,              0.7978,             0.38549,            0.047377,            0.037952,           0.0035154,            0.004192,            0.004192,            0.004192
                  90,            0.050587,            0.043697,           0.0049248,             0.75343,             0.75009,             0.78586,             0.38053,            0.047332,            0.037412,           0.0031929,            0.004126,            0.004126,            0.004126
                  91,             0.05015,            0.044814,           0.0048409,              0.7389,             0.66977,              0.7236,             0.33736,            0.050966,            0.042288,           0.0058217,             0.00406,             0.00406,             0.00406
                  92,            0.049874,            0.044253,            0.004809,             0.74633,             0.72478,             0.75259,             0.36645,            0.049318,            0.039772,           0.0048375,            0.003994,            0.003994,            0.003994
                  93,            0.049792,            0.044661,           0.0045951,             0.78049,               0.719,             0.77301,             0.38335,             0.04955,            0.039499,           0.0040514,            0.003928,            0.003928,            0.003928
                  94,            0.049154,            0.043741,           0.0049482,             0.79587,             0.73535,             0.78194,             0.37515,            0.047884,            0.039172,           0.0030845,            0.003862,            0.003862,            0.003862
                  95,             0.04892,            0.043299,           0.0051269,             0.80672,             0.75103,             0.79068,             0.39732,            0.047422,            0.037668,           0.0030401,            0.003796,            0.003796,            0.003796
                  96,            0.049944,            0.044849,           0.0051069,             0.79594,             0.77013,              0.8045,             0.39822,            0.047206,            0.038787,           0.0033962,             0.00373,             0.00373,             0.00373
                  97,            0.049011,            0.042851,            0.004462,             0.81524,             0.75409,             0.81507,             0.39271,            0.047033,            0.037843,           0.0033657,            0.003664,            0.003664,            0.003664
                  98,            0.049061,            0.042507,           0.0045332,             0.83301,             0.76026,             0.82853,             0.40304,             0.04637,            0.036817,           0.0031349,            0.003598,            0.003598,            0.003598
                  99,            0.049351,            0.042847,           0.0048996,             0.81239,             0.76001,             0.78323,             0.39829,            0.047063,            0.037816,           0.0036397,            0.003532,            0.003532,            0.003532
                 100,            0.048769,            0.042597,           0.0045154,             0.80427,             0.76803,             0.81039,              0.4145,             0.04613,            0.036694,           0.0033983,            0.003466,            0.003466,            0.003466
                 101,            0.048371,            0.041206,           0.0042724,             0.76029,             0.75202,             0.77105,             0.37394,            0.047935,            0.037647,            0.003325,              0.0034,              0.0034,              0.0034
                 102,            0.049272,            0.042586,           0.0041975,             0.79041,             0.78372,             0.81069,             0.40323,            0.046818,             0.03656,             0.00378,            0.003334,            0.003334,            0.003334
                 103,            0.048885,            0.044229,           0.0043475,             0.80828,             0.78514,             0.81644,             0.40018,            0.046881,            0.037148,           0.0028021,            0.003268,            0.003268,            0.003268
                 104,            0.048328,            0.042107,           0.0042744,             0.80749,             0.74694,             0.79314,             0.39408,             0.04679,            0.037677,           0.0033232,            0.003202,            0.003202,            0.003202
                 105,            0.047717,            0.041134,           0.0045892,             0.77691,             0.70493,             0.75257,             0.36363,            0.049357,            0.039544,           0.0037681,            0.003136,            0.003136,            0.003136
                 106,            0.047039,            0.039751,           0.0040151,             0.84427,             0.79795,             0.82653,             0.41101,            0.046096,            0.037012,           0.0033803,             0.00307,             0.00307,             0.00307
                 107,            0.047155,            0.042333,           0.0038674,              0.8447,             0.76607,             0.81708,             0.43223,             0.04591,             0.03684,           0.0030023,            0.003004,            0.003004,            0.003004
                 108,            0.046972,            0.040134,           0.0042374,             0.84031,             0.77733,             0.82391,             0.41709,            0.045365,            0.037311,           0.0026253,            0.002938,            0.002938,            0.002938
                 109,            0.047264,            0.040738,           0.0040185,             0.78865,             0.76672,              0.8073,             0.40929,            0.045971,            0.036922,           0.0028062,            0.002872,            0.002872,            0.002872
                 110,            0.047595,            0.039873,           0.0041477,             0.81856,             0.76997,             0.81661,             0.39459,            0.046992,            0.038346,           0.0029692,            0.002806,            0.002806,            0.002806
                 111,            0.047843,             0.04028,           0.0041298,             0.84457,             0.72815,             0.80361,             0.39561,             0.04714,            0.038435,            0.002998,             0.00274,             0.00274,             0.00274
                 112,            0.046581,            0.040867,           0.0042445,              0.7967,              0.7882,             0.82708,             0.41849,            0.047514,            0.036737,           0.0030522,            0.002674,            0.002674,            0.002674
                 113,            0.047287,            0.041556,           0.0039598,             0.83447,             0.75528,             0.82174,             0.42214,            0.046143,            0.037271,           0.0036685,            0.002608,            0.002608,            0.002608
                 114,             0.04629,            0.040961,           0.0033858,              0.8151,             0.78967,             0.83701,             0.42989,            0.046137,            0.037237,           0.0030321,            0.002542,            0.002542,            0.002542
                 115,             0.04574,            0.040574,           0.0035223,             0.81562,              0.7641,             0.80493,              0.3972,            0.048272,            0.039054,           0.0035337,            0.002476,            0.002476,            0.002476
                 116,            0.046144,            0.041434,           0.0039092,             0.80718,              0.7775,             0.81737,              0.4201,            0.045133,            0.036322,           0.0025713,             0.00241,             0.00241,             0.00241
                 117,            0.046411,            0.039906,           0.0036771,             0.81645,             0.78645,             0.82906,              0.4145,            0.045605,            0.035945,           0.0025574,            0.002344,            0.002344,            0.002344
                 118,            0.045905,            0.042548,           0.0037354,             0.82365,              0.7795,             0.81105,             0.42804,            0.045877,            0.037244,           0.0033159,            0.002278,            0.002278,            0.002278
                 119,            0.047007,            0.039826,           0.0037912,             0.86277,             0.77186,             0.83891,             0.41547,            0.045524,            0.036256,           0.0030136,            0.002212,            0.002212,            0.002212
